"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","CoorX","CoorY","Origen","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","INE","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","FechaPh","HoraPh","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","Equipo","JefeEq","FechaIni","HoraIni","FechaFin","HoraFin","Tiempo","Resid","RumboF1","RumboF2","DistFoto","CarFoto1","NumFoto1","ConFoto1","CarFoto2","NumFoto2","ConFoto2","Estado","Tecnico","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"267","22_114_A_1",22.114,21,71,NA,19.6879256944444,6.12827361111111,NA,682.597867038573,491.611935328299,NA,37791,NA,NA,22,22,114,"A","1",0,1981,"08","0040",1997,"","3-2 ",2004,NA,1,1,1,100,90,1,3,3,3,2,4,"","",1,1,1,1,6,5,NA,NA,"0","0",NA,0,NA,385,NA,11,NA,2,"2",2,"PARCELA ENCONTRADA POR CROQUIS Y PIES DEL IFN2.10% OCUPACION RESTO DE ESPECIES.SUBPISO DE BOJ PRINCIPALMENTE.
22,PIE 2 PUNTA PARTIDA.
22,PIE 5 DM COMPROBADO.
22,PIE 34 DM COMPROBADO.
22,HAY PIES CON MUERDAGO.",6,990,"11/18/04 15:39:07","","11/18/04 17:13:54","",NA,221,374,122,8,407000,7,33,407000,8,32,"T",99,"22.114.A.1","IFN3","22_114",25.98125,18541.7277090315,11581.1746923202,25.8161993055556,1174.20980236687,0,15.790813253012,9.86295180722892,16.7312489451643,12.25,62.4600623742263,47.1493865768583,616.332412099219,23.8227043237373,44.339048801245,-0.471444848281208,42.4326830631414,"1997_2007",7.81818181818182,18.0681818181818,12.9431818181818,655.972726301713,28.5911837120113
"270","22_117_A_1",22.117,21,71,378,23.4459722222222,12.2150055555556,1.33728125,201.454790189208,594.178454209743,159.154943091895,37823,NA,NA,22,22,117,"A","1",0,1981,"08","7943",1997,"","4-1 ",2004,NA,1,1,1,100,95,1,3,3,3,2,4,"","",1,2,1,2,7,0,NA,NA,"0","0",NA,0,NA,45,NA,16,NA,3,"3",3,"REJON POR PIES DEL IFN2. LA PARCELA SE ENCUENTRA DESPLAZADA RESPECTO DEL PINCHAZO DE LA FOTO AEREA AL MENOS 50 M. CON R. 300 G. APROXM. DEJO UN 10% AL RESTO DE ESPECIES. PIE 2 MEDIDO A 1.2 M.
22,Y ALTURA  Y FORMA COMPROBADA. PIE 4 POR PENDIENTE. PIES 5 Y 7 ESPECIES COMPROBADAS. PIE 5 DISTANCIA COMPROBADA. PIE 18 MEDIDO A 1.2 M. PIES 25, 26 27 Y 29 DISTANCIAS COMPROBADAS. PIES15, 25 Y 26 DIAMETROS COMPROBADOS. PIES 4, 5 Y 28 ENTRAN POR PENDIENTE. A 170 G. Y 19.4 M. NO 021 POR DIAMETROS. A 346 G. Y 6.9 M. NO 476 POR DIAMETROS. EN MATORRAL VIBURNUM LANTANA 3% DE 1.2 M. PENDIENTE MAYOR A LA DEL IFN2.",22,990,"10/14/04 12:50:19","","10/14/04 20:05:58","",NA,221,150,350,9,392460,10,30,392460,11,29,"T",99,"22.117.A.1","IFN3","22_117",43.1099447513812,19029.6755438921,11125.864231123,38.3746618055556,1000.76628216184,0,19.0151046084252,11.1173452078032,22.0958649849819,15.0574585635359,58.4658640419856,34.9280395750298,820.839255555724,20.9933618228106,39.0730490423921,-0.242298113137004,42.3913765345545,"1997_2007",6.88636363636364,17.3863636363636,12.1363636363636,694.018184315075,31.3519508314818
"271","22_1208_A_1",22.1208,21,71,NA,10.3145395833333,6.08009544444444,NA,594.178454209743,48.6660448209884,NA,37864,NA,NA,22,22,1208,"A","1",0,1984,"M","4144",1997,"","3-3 ",2004,NA,1,1,1,100,90,1,2,2,2,1,4,"","",1,2,1,1,8,3,NA,NA,"0","0",NA,0,NA,200,NA,13,NA,1,"2",2,"PARCELA LOCALIZADA POR FOTO AEREA ORTOFOTO Y PIES DEL IFN2
22,[CLAESP. RESTO DE ESPECIES=10%] 
22,[PIESMAY 001-071]MEDIDA APROXIMADA TRONCOS PEGADOS
22,[PIESMAY 002-071]MEDIDA APROXIMADA TRONCOS PEGADOS
22,[PIESMAY 009-021]ENTRA POR CORRECION DE PENDIENTE
22,[PIES MAYORES]
22,[PIESMAY 016-071]ENTRA POR CORRECCION DE PENDIENTE DISTANCIA COMPR
22,PIE 321G NO ENTRA POR DIAMETRO
22,[PIESMAY 019-071]MEDIDA APROXIMADA TRONCO PEGADO
22,PIE A 397G NO ENTRA POR DISTANCIA
22,",11,990,"11/14/04 22:48:57","","11/15/04 00:46:46","",NA,221,35,205,5,406998,20,20,406998,21,19,"T",99,"22.1208.A.1","IFN3","22_1208",34.8677419354839,9618.31324239139,4718.04572144036,16.3946350277778,642.844499030731,0,14.9621148767606,7.33932658450704,18.0199246171738,11.6430107526882,49.052735157826,33.3919264810189,380.098131427906,33.8751896673944,63.0488322149649,-0.462927684525525,42.342445075162,"1997_2007",6.21969696969697,16.7121212121212,11.4659090909091,709.663635600697,33.0600317272956
"273","22_1312_A_1",22.1312,21,71,476,9.36208958333333,6.08304652777778,1.177225,562.347465591364,491.611935328299,127.323954473516,37980,NA,NA,22,22,1312,"A","1",0,1984,"K","4291",1997,"","1-4 ",2004,NA,1,1,1,100,75,1,2,2,2,2,5,"","",1,1,1,1,4,3,NA,NA,"0","0",NA,0,NA,25,NA,8,NA,2,"3",3,"[CLAESP. RESTO DE ESPECIES=10%]. PARCELA LOCALIZADA POR REFERENCIAS DE FOTOS Y CROQUIS. PIE 13 ENTRA POR PENDIENTE. EL ENEBRO ES EL OXYCEDRUS. DIFICULTAD EN EL LEVANTAMIENTO POR ESPESURA DE LA MASA. HAY ABUNDANTES MUSGOS Y LIQUENES.",17,990,"11/10/04 12:06:42","","11/10/04 13:43:42","",NA,220,120,317,6,406986,28,12,406986,29,11,"T",99,"22.1312.A.1","IFN3","22_1312",23.8297297297297,16972.8136477967,11572.3327510374,18.6913673611111,1372.26928710345,0,12.3684278350515,8.43298969072165,13.1690948052511,12.1756756756757,68.1815813875952,51.0944765793354,490.493083673216,22.1711008283739,41.2650683250546,-0.046476451225075,42.4225135509834,"1997_2007",5.16666666666667,15.2727272727273,10.219696969697,829.85454229875,41.0418881916205
"275","22_1418_A_1",22.1418,21,71,44,15.5869618055556,3.74632677777778,1.752976,774.554056380557,29.4259805894349,5.09295817894065,38085,NA,NA,22,22,1418,"A","1",0,1984,"J","4249",1997,"","1-2 ",2004,NA,1,1,1,95,85,1,3,2,2,2,4,"","",1,1,1,1,7,2,NA,NA,"0","0",NA,0,NA,86,NA,14.2,NA,2,"2",3,"PARCELA ENCONTRADA POR PIES DEL IFN2. BOSQUE MIXTO DE HAYA Y PINO SILVESTRE CON SUBPISO DE BOJ. [CLAESP. RESTO DE ESPECIES=10%].
22,CON RUMBO 12 NO ENTRA 021 POR DIAM. CON RUMBO 25 NO ENTRA 071 POR DIAM. CON RUMBO 115 NO ENTRA 021 POR DIAM. [PIESMAY 002-071] HT COMP.DIAM SIGO CRITERIO MEDICION IFN2. [PIESMAY 006-044] MEDIDO A CINTA.
22,[PIESMAY 007-021] ENTRA POR PENDIENTE. CON RUMBO 244 NO ENTRA 021 POR DIAM. [PIES MAYORES] CON RUMBO 263 NO ENTRA 021 POR DISTANCIA LATERAL JUSTA. [PIESMAY 014-021] ENTRA POR PENDIENTE. [PIESMAY 017-021] ENTRA POR PENDIENTE. [PIESMAY 024-071] ENTRA POR PENDIENTE.",20,990,"09/28/04 11:15:36","","09/28/04 13:08:17","",NA,220,55,366,10,392488,30,10,392488,31,9,"T",99,"22.1418.A.1","IFN3","22_1418",30.2180104031209,13167.7938567799,7499.87606720195,21.0862645833333,809.072995148933,0,16.2751617415632,9.26971498513726,18.2163361681816,11.8836150845254,56.9562080692841,39.3262657798874,486.781369923203,29.5840461131424,55.0621141295817,0.274414778462006,42.4911977013531,"1997_2007",2.78787878787879,13.1666666666667,7.97727272727273,1005.86363723061,55.9519595931062
"276","22_1432_A_1",22.1432,21,71,NA,24.8583268333333,5.84654,NA,1352.18039650874,137.509870831398,NA,38100,NA,NA,22,22,1432,"A","1",0,1984,"J","4249",1997,"","1-2 ",2004,NA,1,1,1,100,90,1,2,2,2,1,4,"","",1,1,1,1,5,2,NA,NA,"0","0",NA,0,NA,11,NA,12.5,NA,2,"2",3,"PARCELA ENCONTRADA POR PIES DEL IFN2. BOSQUE MIXTO DE PINO SILVESTRE Y HAYA CON ALGUN ABETO JOVEN. [CLAESP. RESTO DE ESPECIES=10%]. [PIESMAY 001-021] ENTRA POR PENDIENTE.. CON RUMBO 145 NO ENTRA 021 POR DIAM. [PIESMAY 013-] ENTRA POR PENDIENTE.
22,
22,",20,990,"09/24/04 11:46:47","","09/24/04 13:39:46","",NA,220,387,291,10,392488,24,16,392488,25,15,"T",99,"22.1432.A.1","IFN3","22_1432",37.1679487179487,20385.7676152244,13173.219271951,30.7048668333333,1489.69026734014,0,13.6845679012346,8.84292497625831,16.199838247935,16.2384615384615,64.6196872278337,43.689420854748,742.449475892274,15.9553791483089,29.6963067284651,0.274805539938819,42.4822022799925,"1997_2007",2.78787878787879,13.1666666666667,7.97727272727273,1005.86363723061,55.9519595931062
"277","22_1463_A_1",22.1463,21,71,NA,15.7461173611111,4.65592777777778,NA,788.70116243317,205.133037762887,NA,38127,NA,NA,22,22,1463,"A","1",0,1984,"K","4231",1997,"","2-3 ",2004,NA,1,1,1,100,85,1,3,2,2,1,4,"","",1,1,1,1,5,6,NA,NA,"0","0",NA,0,NA,260,NA,9.5,NA,3,"2",2,"PARCELA ENCONTRADA POR FOTOS AEREAS Y PIES MAYORES. PARCELA PINCHADA EN UNA MASA DE PINOS SILVESTRE Y HAYAS CON SUBPISO DE BOJ Y ROBLES,ENCINA,ENEBRO. NO DEJO OCUPACION AL RESTO DE SPP. HAY ROBLE HIBRIDADO EN TODA LA PARCELA. EL PIE N4 Y N16 FORMA Y CALIDAD COMPROBADA. EL PIE N8,N10 Y N20 FORMA COMPROBADA. UN PIE(021) A 111G Y 14.3M NO ENTRA POR DIAMETRO. UN PIE(021) A 146G Y 11.5M NO ENTRA POR DIAMETRO.  ES DUDOSO.
22,[CLAESP. RESTO DE ESPECIES=10%]",24,990,"08/30/04 02:40:12","","08/30/04 03:20:14","",NA,220,100,395,8,392489,0,40,392489,1,39,"T",99,"22.1463.A.1","IFN3","22_1463",27.1120689655172,15166.228204878,8849.01483590938,20.4020451388889,993.834200196058,0,15.2603202846975,8.90391459074733,16.1672048986482,11.7931034482759,58.3468395461912,43.4976152623212,493.718392760243,26.8976862213441,50.0622349923728,0.336716282154516,42.4566443628596,"1997_2007",5.21969696969697,15.5757575757576,10.3977272727273,863.763636502353,42.3460724301989
"278","22_1464_A_1",22.1464,21,71,476,11.6918375,6.821476,1,318.309886183791,10.1859163578813,5.09295817894065,38128,NA,NA,22,22,1464,"A","1",0,1984,"K","4232",1997,"","2-3 ",2004,NA,1,1,1,100,90,1,2,3,3,2,4,"","",1,2,1,1,5,4,NA,NA,"0","0",NA,0,NA,290,NA,15.5,NA,3,"3",3,"PARCELA ENCONTRADA POR FOTOS AEREAS Y PIES MAYORES. PARCELA PINCHADA EN UNA MASA DE PINOS,HAYAS,ARCE. DEJO UN 20% ALRESTO DE SPP.EL PIE N1 MEDIDO A 1.25M PARA EVITAR RAMA.
22,EL PIE N2 ENTRA POR PENDIENTE.EL PIE N4 ENTRA POR PENDIENTE.
22,EL PIE N6 ENTRA POR PENDIENTE. EL PIE N9 ENTRA POR PENDIENTE.
22,EL PIE N14 ALTURA COMPROBADA Y MEDIDO CON CINTA. DIAMETROS COMPROBADOS.EL PIE N18 MEDIDO A 1.20M PARA EVITAR ENSANCHAMIENTO Y MEDIDO CON CINTA; ALTURA COMPROBADA. EL PIE N19 ENTRA POR PENDIENTE Y DISTANCIA COMPROBADA.
22,HAY TOCONES MUY ANTIGUOS.
22,",24,990,"10/04/04 00:41:00","","10/04/04 03:01:26","",NA,220,50,398,8,392510,36,4,392510,37,3,"T",99,"22.1464.A.1","IFN3","22_1464",36.083615819209,8869.1320207162,3720.97183395825,20.2105385,460.912715194129,0,19.2425414364641,8.07305095150399,23.628418662879,12.2203389830508,41.9541824979822,33.8667251205612,421.005335994269,38.1160073778435,70.9418833507852,0.373162102845018,42.4574860004915,"1997_2007",5.21969696969697,15.5757575757576,10.3977272727273,863.763636502353,42.3460724301989
"284","22_1603_A_1",22.1603,21,71,22,17.8207908055556,7.18655972222222,2.0874,298.928350891711,247.574355920726,77.809083289371,38283,NA,NA,22,22,1603,"A","1",0,1982,"02","5713",1997,"","1-3 ",2004,NA,1,1,1,100,95,1,3,2,3,1,4,"","",1,1,1,1,6,5,NA,NA,"0","0",NA,0,NA,330,NA,3,NA,3,"3",3,"[IDENTIFICACIÓN Y CLASIFICACIÓN]PARCELA CON SUBPISO DE BOJ.
22,[CLAESP. RESTO DE ESPECIES=10%]
22,[PIESMAY 011-021]COMPROBADO DIAMETRO.
22,[PIES MAYORES]A 275G Y 4.0M HAYA NO ENTRA POR DIAMETRO.A 280G Y 3.6M HAYA NO ENTRA POR DIAMETRO.
A 321G Y 8.7M PINO NO ENTRA POR DIAMETRO.A 25.4M Y 323G PINO NO ENTRA POR DISTANCIA.
22,[PIESMAY 020-021]COMPROBADO RUMBO.
22,[PIESMAY 021-022]COMPROBADO RUMBO.
22,[PIESMAY 022-022]COMPROBADO RUMBO.
22,[PIESMAY 026-021]COMPROBADO RUMBO.
22,[PIESMAY 027-021]COMPROBADO RUMBO.
22,[PIESMAY 028-021]COMPROBADO RUMBO.
22,[PIESMAY 029-021]COMPROBADO RUMBO.
22,[PIESMAY 031-021]COMPROBADO RUMBO.",21,990,"09/23/04 12:11:02","","09/23/04 14:46:13","",NA,220,250,150,10,392469,24,16,392469,25,15,"T",99,"22.1603.A.1","IFN3","22_1603",39.1916243654822,13066.8684022005,6346.32103967189,27.0947505277778,624.311790101808,0,20.9300362565148,10.1653070473601,23.5069817048847,13.3527918781726,48.5680336277293,34.070524236635,565.560146074638,29.9727886767801,55.7856455669039,0.519316022062566,42.4517395599417,"1997_2007",1.49242424242424,11.9242424242424,6.70833333333333,1082.58181814714,64.7929267718986
"285","22_1739_A_1",22.1739,21,71,NA,12.0618346944444,8.14220138888889,NA,155.193753397164,229.89047335496,NA,38424,NA,NA,22,22,1739,"A","1",0,1984,"J","4127",1997,"","1-1 ",2004,NA,1,1,1,100,95,1,3,1,3,1,4,"","",1,2,1,1,4,5,NA,NA,"0","0",NA,0,NA,60,NA,8.5,NA,1,"2",2,"[CLAESP. RESTO DE ESPECIES=0%].ENCUENTRO EL CENTRO DE LA PARCELA PERO NO EL REJON POR FOTOS INFO2.EL BOJ FORMA SUBPISO DEL PINO Y DEL HAYA QUE ESTOS ULTIMOS ESTAN MEZCLADOS PIE A PIE.
22,HAYA A 8G SE BIFURCA JUSTO POR DEBAJO DE 1.30MTS.
22,[PIESMAY 002-021]MEDIDO A 1.20 M.
22,[PIESMAY 003-021]DISTANCIA COMPROBADA.
22,[PIESMAY 005-071]MEDIDO A 1.50 M.
22,[PIES MAYORES]PINO A 179 G. NO ENTRA POR DISTANCIA.PIE A 320 G. NO ENTRA POR DIAMETRO.PIE A 330 G. NO ENTRA POR DIAMETRO.PIE A 364 G. NO ENTRA POR DIAMETRO. 
22,[PIESMAY 012-021]MEDIDO A 1.25 M.
22,[PIESMAY 019-021]PIE CON DANOS EN LA CORTEZA POR FAUNA SILVESTRE.DANOS DE PERFORADORES EN PINOS Y ALGUN DANO DE HONGOS
22,[RIESGOS.MODELO 04. POR LA CONTINUIDAD]
22,",11,990,"10/14/04 02:43:39","","10/14/04 04:27:40","",NA,221,50,250,5,407036,34,6,407036,35,5,"T",99,"22.1739.A.1","IFN3","22_1739",35.1170984455959,9340.50652083623,3689.94723038487,20.2040360833333,385.084226752124,0,24.2557494489346,9.58218221895665,25.8461738982778,9.6699481865285,39.5047872634483,27.5362960339943,406.216927235445,52.6984677472108,98.0829003055793,-0.47649489012703,42.3067244375913,"1997_2007",4.79545454545455,15.530303030303,10.1628787878788,779.036367936568,38.6371597097978
"290","22_194_A_1",22.194,71,21,278,18.7862006944444,4.80223691666667,1.45203125,887.730904801461,79.3652649551585,95.4929658551372,38622,NA,NA,22,22,194,"A","1",0,1981,"07","8109",1997,"","1-3 ",2004,NA,1,1,1,80,80,1,3,4,2,2,4,"","",1,1,1,1,8,3,NA,NA,"0","0",NA,0,NA,150,NA,13,NA,2,"2",3,"REJON POR PIES DEL IFN2. LA PARCELA SE ENCUENTRA DESPLAZADA AL MENOS 70 M. CON R. 300 G. RESPECTO DEL PINCHAZO DE LA FOTO AEREA. NO ME COINCIDEN LAS OCUPACIONES CON LAS TESELADAS, POR LA ZONA PREDOMINA EL HAYA. DEJO UN 10% DE OCUPACION AL RESTO DE ESPECIES. PIE 1 POR PENDIENTE. PIE 5 DIAMETROS COMPROBADOS. A 155 G. Y 5.6 M. NO 071 POR PENDIENTE. PIES 8 Y 12 DIAMETROS COMPROBADOS. A 214 G. Y 8.7 M. NO 278 POR DIAMETROS. PIES 7, 9 Y 11 POR PENDIENTE. PIE 15 MEDIDO A 1.35 M. Y DIAMETROS COMPROBADOS. A 294 G. Y 17.9 M. NO 021 POR DIAMETROS. PIES 22 Y 30 ENTRAN POR PENDIENTE. PIE 32 ESPECIE Y ALTURAS COMPROBADAS. PIE 35 DIAMETROS COMPROBADOS. PIE 36 FORMA COMPROBADA.",22,990,"09/22/04 13:22:44","","09/22/04 16:26:29","",NA,221,100,300,11,392470,10,30,392470,11,29,"T",99,"22.194.A.1","IFN3","22_194",27.2133377135348,18359.845440066,12117.0387753811,26.1168751111111,1094.42012423014,0,16.7758660806618,11.071652016546,17.4310532787737,14.3597897503285,65.99749880758,52.7674697660718,613.500305085291,21.0503772644956,39.1791667365439,-0.519351135002045,42.757900903385,"1997_2007",2.1969696969697,11.8257575757576,7.01136363636364,1109.47272786227,65.2195057126786
"294","22_22_A_1",22.22,71,21,44,7.57340625,6.84329166666667,2.8751375,891.267681314614,229.89047335496,109.64007190775,38894,NA,NA,22,22,22,"A","1",0,1984,"L","0070",1997,"","4-2 ",2004,NA,1,1,1,95,90,1,3,2,3,2,4,"","",1,2,1,1,7,4,NA,NA,"9","0",NA,0,NA,385,NA,9.2,NA,3,"3",3,"PARCELA ENCONTRADA POR PIES DEL IFN2.
22,10%  OCUPACION RESTO DE ESPECIES.
22,HAN CORTADO UNA PEQUENA FRANJA DE ARBOLES,PARECE COMO PARA HACER UNA SENDA O ALGO ASI,QUEDAN RESTOS EN EL MONTE.
22,HAY PIES MUERTOS POR PERFORADORES.
22,PIE 2 DM COMPROBADO.
22,QUEJIGO A 10.05M Y 97G CON DM 13.4 Y 12.5CMS.
22,QUEJIGO A 144G Y 13.5M CON DM 22.6 Y 22.2CMS.
22,HAYA A 292G Y 10.1M SE VA.PIE 15 DM COMPROBADO.
22,PIE 24 SP COMPROBADA.
22,",6,990,"09/03/04 11:33:08","","09/03/04 13:22:55","",NA,221,103,205,5,392449,14,26,392449,15,25,"T",99,"22.22.A.1","IFN3","22_22",28.425,17307.0390282897,11598.858574886,19.9375576388889,1418.24738177445,0,12.2031172069825,8.1783042394015,13.3787347082605,9.25,67.0181569240515,32.5417766051011,519.941423722593,28.7066339861339,53.4290661519235,0.158986931956595,42.0831726240621,"1997_2007",9.77272727272727,21.0606060606061,15.4166666666667,508.99091053009,20.0258718897085
"299","22_398_A_1",22.398,21,71,NA,16.1705873611111,10.1808522222222,NA,391.733366596852,579.606934975551,NA,39565,NA,NA,22,22,398,"A","1",0,1981,"01","8363",1997,"","2-2 ",2004,NA,1,1,1,100,95,1,2,1,2,2,4,"","",1,2,1,1,6,5,NA,NA,"0","0",NA,0,NA,79,NA,8.5,NA,2,"3",2,"[IDENTIFICACIÓN Y CLASIFICACIÓN] PARCELA ENCONTRADA CON FOTO AEREA Y PIES MAYORES.
22,[CLAESP. RESTO DE ESPECIES=10%] CLASIFICACION PREVIA ERRONEA.
22,[PIESMAY 001-071] P. E. COMPROBADO.
22,[PIESMAY 005-021] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 014-021] MEDIDO A 1.0 M. POR BIFURCACION.
22,[PIES MAYORES] A 206 G. Y 6.2 M. NO ENTRA UN P. SILVESTRE POR DIAMETRO.
22,[PIESMAY 016-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 020-071] P. E. COMPROBADO.
22,[PIESMAY 023-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 024-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 025-071] ESTA SOLDADA CON LA SIGUIENTE.
22,[PIESMAY 026-071] ESTA SOLDADA CON LA ANTERIOR.",7,990,"09/27/04 12:00:20","","09/27/04 13:46:10","",NA,221,304,171,10,392465,20,20,392465,21,19,"T",99,"22.398.A.1","IFN3","22_398",39.1662011173184,15391.2379266448,9463.77732942567,26.3514395833333,971.340301572403,0,15.8453612001165,9.74300903000291,18.5853835466444,15.7932960893855,61.4880841588595,40.3237884677103,603.528796841841,20.3161550362213,37.8126251899583,-0.206826327368843,42.6426470117399,"1997_2007",1.56818181818182,11.9772727272727,6.77272727272727,1125.00909042358,67.0737127081812
"303","22_432_A_4",22.432,21,71,31,34.3589979166667,6.26108125,0.931225,514.388776073006,477.464829275686,14.1471060526129,39604,NA,NA,22,22,432,"A","4",0,1997,"","2-4 ",1981,"02","8355",2004,NA,1,1,1,100,90,1,3,1,2,2,4,"","",1,1,1,1,6,10,NA,NA,"0","0",NA,0,NA,40,NA,12,NA,3,"3",3,"[IDENTIFICACIÓN Y CLASIFICACIÓN] PARCELA DEL IFN2 NO ENCONTRADA POR FALTA DE REFERENCIAS CLARAS. SUBPISO DE BOJ.
22,[CLAESP. RESTO DE ESPECIES=10%] EN LA CLASIFICACION PREVIA LAS ESPECIES SECUNDARIAS NO ACIERTA.
22,[PIESMAY 002-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 004-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 011-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 017-021] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 018-021] MEDIDO A 1.5 M. POR BIFURCACION.
22,[PIESMAY 019-021] MEDIDO A 1.5 M. POR BIFURCACION.
22,[PIESMAY 021-021] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 024-021] ENTRA POR CORRECCION DE PTE.",7,990,"09/20/04 11:17:06","","09/20/04 13:19:37","",NA,221,186,348,10,392465,6,34,392465,7,33,"T",99,"22.432.A.4","IFN3","22_432",37.0625,21100.4794130024,13561.9110107466,41.5513041666667,1006.0007114013,0,20.9746167908874,13.4810153283645,22.9323332964719,17.3586956521739,64.2729994200489,46.8362783195249,875.83845046208,18.162840423017,33.8048551055114,-0.220211478693136,42.6159593064661,"1997_2007",3.07575757575758,13.1969696969697,8.13636363636364,987.972724654458,54.4746865724262
"306","22_473_A_4",22.473,71,21,278,15.6458271111111,3.2459,1.6857,124.494533262994,318.309886183791,254.647908947033,39649,NA,NA,22,22,473,"A","4",0,1997,"","2-4 ",1981,"03","8311",2004,NA,1,1,1,95,85,1,2,3,3,2,4,"","",1,1,1,1,5,3,NA,NA,"0","0",NA,0,NA,82,NA,12.2,NA,3,"3",2,"PARCELA NO ENCONTRADA POR FALTA DE REFERENCIAS CLARAS.
22,[PIESMAY 005-071] ENTRA POR CORRECCION DE PTE. 
22,[PIESMAY 007-071] ENTRA POR CORRECCION DE PTE. 
22,[PIESMAY 015-021] ENTRA POR CORRECCION DE PTE. ",7,990,"11/02/04 16:06:47","","11/02/04 18:18:33","",NA,221,265,42,7,392497,2,38,392497,3,37,"T",99,"22.473.A.4","IFN3","22_473",40.0238461538462,10637.0109814749,5457.52910191649,20.5774271111111,697.452328393817,0,15.2512373225152,7.82494929006085,19.3817653371979,14.425641025641,51.3069800475072,36.0426156201751,463.539887417153,26.2486888590778,48.8543147946338,-0.221411736053795,42.5889748119431,"1997_2007",3.07575757575758,13.1969696969697,8.13636363636364,987.972724654458,54.4746865724262
"307","22_487_A_1",22.487,21,71,NA,11.2242666666667,5.64164069444444,NA,272.331791512799,70.3111170814862,NA,39665,NA,NA,22,22,487,"A","1",0,1981,"03","8310",1997,"","4-2 ",2004,NA,1,1,1,100,80,1,3,1,2,2,4,"","",1,1,1,1,6,2,NA,NA,"0","0",NA,0,NA,61,NA,10.5,NA,2,"2",2,"[IDENTIFICACIÓN Y CLASIFICACIÓN] PARCELA ENCONTRADA CON FOTO AEREA, CROQUIS Y PIES MAYORES.
22,[PIESMAY 001-071] MEDIDO A 1.1 M. POR RAMIICACION.
22,[PIESMAY 002-071] MEDIDO A 1.0 M. POR RAMIFICACION Y ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 003-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 007-021] ENTR POR CORRECCION DE PTE.
22,[PIESMAY 008-071] ENTRA POR CORRECCION DE PTE.
22,[PIESMAY 013-071] PAE COMPROBADO.
22,
22,
22,
22,[LOCALIZACIÓN ACCESO LEVANTAMIENTO] FOTO A 5 M. POR LA ESPESURA DE LA REGENERACION.",7,990,"11/22/04 12:46:01","","11/22/04 15:52:23","",NA,221,41,335,5,392497,26,14,392497,27,13,"T",99,"22.487.A.1","IFN3","22_487",34.5507772020725,7923.00893568258,4488.31086625197,16.8659073611111,342.642908594285,0,23.1232246077622,13.0990916597853,25.0345068420393,15.5777202072539,56.6490698506994,45.0864538188144,343.402295760648,34.679691608273,64.5461790456423,-0.210041729979132,42.5706891705874,"1997_2007",3.74242424242424,14,8.87121212121212,927.072726249695,49.1262946065675
