"","Scenario_file_name","Trees_sheet","Scenario_age","Minimum_age","Maximum_age","Action","Time","Harvest_type","Harvest_criteria","Harvest_severity","Inventory_ID","Plot_ID","ID_sp1","ID_sp2","Year","T","Proportion_sp1","Proportion_sp2","N","N_sp1","N_sp2","N_harvested_volume","Dead_N","G","G_sp1","G_sp2","g_max","g_max_sp1","g_max_sp2","g_min","g_min_sp1","g_min_sp2","g_mean","g_mean_sp1","g_mean_sp2","G_harvested_volume","Dead_G","dbh_max","dbh_max_sp1","dbh_max_sp2","dbh_min","dbh_min_sp1","dbh_min_sp2","dbh_mean","dbh_mean_sp1","dbh_mean_sp2","dg","dg_sp1","dg_sp2","Do","Do_sp1","Do_sp2","Dominant_section","Dominant_section_sp1","Dominant_section_sp2","h_max","h_max_sp1","h_max_sp2","h_min","h_min_sp1","h_min_sp2","h_mean","h_mean_sp1","h_mean_sp2","Ho","Ho_sp1","Ho_sp2","Slenderness","Dominant_Slenderness","SDI","SDI_sp1","SDI_sp2","SDImax_sp1","SDImax_sp2","HartBecking__Simple_rows","HartBecking__Staggered_rows","V","V_harvested","Dead_V","V_sp1","V_sp2","V_unwinding","V_veneer","V_saw_big","V_saw_small","V_saw_canter","V_post","V_stake","V_chips","V_unwinding_sp1","V_veneer_sp1","V_saw_big_sp1","V_saw_small_sp1","V_saw_canter_sp1","V_post_sp1","V_stake_sp1","V_chips_sp1","V_saw_big_sp2","V_saw_small_sp2","V_saw_canter_sp2","V_chips_sp2","WSW","WTHICKB","WSTB","WB2_7","WTHINB","WTBL","WR","WT","Dead_WT","WSW_sp1","WTHICKB_sp1","WB2_7_sp1","WTBL_sp1","WR_sp1","WT_sp1","WSTB_sp2","WTHINB_sp2","WR_sp2","WT_sp2","File_name"
"11","CS_IFN2_PsylQpyr.json","Node 4 - Inventoried trees",15,"-","-","Execution",5,"-","-","-","IFN2","1_762",21,43,111,15,0.61,0.39,1257.11,572.96,684.15,NA,0,58.11,41.1,17.01,2869.25,1396.24,2869.25,108.91,254.17,108.91,462.24,717.31,248.61,NA,NA,60.44,42.16,60.44,11.78,17.99,11.78,22.62,29.65,16.74,24.26,30.22,17.79,39.2,37.93,26.31,1228.97,1133.26,594.82,18.06,17.59,18.06,12.86,12.86,13.19,15.27,15.74,14.88,17.19,17.12,16.29,67.52,43.84,1197.91,793.19,377.6,1163.39,861.12,16.41,17.64,399.6,NA,0,287.11,112.5,0,0,5.4,109.44,193.17,128.66,27.55,376.36,0,0,0,101.25,153.6,128.66,27.55,272.52,5.4,8.19,39.57,103.84,130.24,0.12,88.5,16.38,5.75,22.32,99,380.37,NA,130.24,0.12,16.38,22.32,68.03,237.08,88.5,5.75,30.97,143.29,"CS_IFN2_PsylQpyr__Output_Plot_1_762.xlsx"
"12","CS_IFN2_PsylQpyr.json","Node 5 - Inventoried trees",20,"-","-","Execution",5,"-","-","-","IFN2","1_762",21,43,116,20,0.62,0.38,1257.11,572.96,684.15,NA,0,62.74,44.89,17.84,2896.02,1496.04,2896.02,116.84,285.13,116.84,499.07,783.54,260.83,NA,NA,60.72,43.64,60.72,12.2,19.05,12.2,23.49,31.02,17.19,25.21,31.59,18.22,40.62,39.41,26.83,1315.87,1223.03,615.49,17.94,17.65,17.94,13.1,13.1,13.42,15.47,15.88,15.12,17.25,17.2,16.42,65.84,42.47,1273.93,855.58,393.76,1163.39,861.12,16.35,17.57,432.82,NA,0,313.74,119.08,0,0,5.44,134.08,199.31,133.36,24.74,407.99,0,0,0,125.85,155.54,133.36,24.74,297.63,5.44,8.23,43.77,110.37,143.19,0.26,93.88,18.35,5.95,24.39,106.8,411.82,NA,143.19,0.26,18.35,24.39,74.31,260.51,93.88,5.95,32.49,151.31,"CS_IFN2_PsylQpyr__Output_Plot_1_762.xlsx"
"13","CS_IFN2_PsylQpyr.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","16_82",25,NA,92,0,NA,NA,990.16,NA,NA,NA,NA,23.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.91,NA,NA,17.38,NA,NA,40.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06,NA,NA,12.93,NA,NA,NA,NA,552.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylQpyr__Output_Plot_16_82.xlsx"
"14","CS_IFN2_PsylQpyr.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","16_82",25,NA,92,0,1,0,990.16,990.16,0,NA,0,23.49,23.49,0,2994.77,2994.77,NA,59.45,59.45,NA,237.25,237.25,NA,NA,NA,61.75,61.75,NA,8.7,8.7,NA,13.91,13.91,NA,17.38,17.38,0,40.81,40.81,0,1433.2,1433.2,0,15.5,15.5,NA,5.5,5.5,NA,7.06,7.06,NA,12.93,12.93,0,50.76,31.69,552.46,529.16,0,1131.4,834.2,24.57,26.41,108.83,NA,NA,108.83,0,19.11,19.11,18.67,53.83,20.83,6.08,18.13,99.32,19.11,19.11,18.67,53.83,20.83,6.08,18.13,99.32,0,0,0,0,50.65,4.69,0,13.16,0,21.54,38.88,128.92,NA,50.65,4.69,13.16,21.54,38.88,128.92,0,0,0,0,"CS_IFN2_PsylQpyr__Output_Plot_16_82.xlsx"
"15","CS_IFN2_PsylQpyr.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","16_82",25,NA,97,5,1,0,990.16,990.16,0,NA,0,26.76,26.76,0,3172.08,3172.08,NA,72.7,72.7,NA,270.21,270.21,NA,NA,NA,63.55,63.55,NA,9.62,9.62,NA,15.12,15.12,NA,18.55,18.55,0,42.87,42.87,0,1566.86,1566.86,0,13.93,13.93,NA,6.82,6.82,NA,8.28,8.28,NA,12.85,12.85,0,54.73,29.97,613.26,591.94,0,1131.4,834.2,24.73,26.57,128.9,NA,0,128.9,0,22.57,22.57,23.53,55.4,24.83,12.34,27.71,118.33,22.57,22.57,23.53,55.4,24.83,12.34,27.71,118.33,0,0,0,0,59.69,5.92,0,14.65,0,22.42,44.29,146.97,NA,59.69,5.92,14.65,22.42,44.29,146.97,0,0,0,0,"CS_IFN2_PsylQpyr__Output_Plot_16_82.xlsx"
"16","CS_IFN2_PsylQpyr.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","16_82",25,NA,102,10,1,0,990.16,990.16,0,NA,0,30.05,30.05,0,3323.54,3323.54,NA,87.21,87.21,NA,303.5,303.5,NA,NA,NA,65.05,65.05,NA,10.54,10.54,NA,16.3,16.3,NA,19.66,19.66,0,44.68,44.68,0,1688.94,1688.94,0,13.77,13.77,NA,7.09,7.09,NA,8.49,8.49,NA,12.77,12.77,0,52.08,28.58,673.18,654.27,0,1131.4,834.2,24.88,26.74,143.06,NA,0,143.06,0,26.12,26.12,26.74,60.83,25.17,22,32.57,132,26.12,26.12,26.74,60.83,25.17,22,32.57,132,0,0,0,0,66.41,7.13,0,16.82,0,25.42,49.74,165.52,NA,66.41,7.13,16.82,25.42,49.74,165.52,0,0,0,0,"CS_IFN2_PsylQpyr__Output_Plot_16_82.xlsx"
"17","CS_IFN2_PsylQpyr.json","Node 4 - Inventoried trees",15,"-","-","Execution",5,"-","-","-","IFN2","16_82",25,NA,107,15,1,0,990.16,990.16,0,NA,0,33.3,33.3,0,3457.03,3457.03,NA,102.48,102.48,NA,336.32,336.32,NA,NA,NA,66.34,66.34,NA,11.42,11.42,NA,17.41,17.41,NA,20.69,20.69,0,46.27,46.27,0,1799.66,1799.66,0,13.63,13.63,NA,7.33,7.33,NA,8.67,8.67,NA,12.69,12.69,0,49.78,27.43,731,714.8,0,1131.4,834.2,25.04,26.91,156.91,NA,0,156.91,0,29.69,29.69,29.7,65.88,24.65,23.27,35.82,144.76,29.69,29.69,29.7,65.88,24.65,23.27,35.82,144.76,0,0,0,0,73,8.28,0,19,0,28.41,55.12,183.81,NA,73,8.28,19,28.41,55.12,183.81,0,0,0,0,"CS_IFN2_PsylQpyr__Output_Plot_16_82.xlsx"
"18","CS_IFN2_PsylQpyr.json","Node 5 - Inventoried trees",20,"-","-","Execution",5,"-","-","-","IFN2","16_82",25,NA,112,20,1,0,990.16,990.16,0,NA,0,36.48,36.48,0,3574.14,3574.14,NA,118.34,118.34,NA,368.46,368.46,NA,NA,NA,67.46,67.46,NA,12.28,12.28,NA,18.47,18.47,NA,21.66,21.66,0,47.66,47.66,0,1899.78,1899.78,0,13.5,13.5,NA,7.54,7.54,NA,8.82,8.82,NA,12.62,12.62,0,47.78,26.47,786.55,773.3,0,1131.4,834.2,25.19,27.07,170.34,NA,0,170.34,0,33.08,33.08,34.52,70.97,27.99,23.96,41.82,157.1,33.08,33.08,34.52,70.97,27.99,23.96,41.82,157.1,0,0,0,0,79.4,9.38,0,21.18,0,31.36,60.39,201.7,NA,79.4,9.38,21.18,31.36,60.39,201.7,0,0,0,0,"CS_IFN2_PsylQpyr__Output_Plot_16_82.xlsx"
"19","CS_IFN2_PsylQpyr.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","18_1692",21,43,95,0,NA,NA,417.62,NA,NA,NA,NA,36.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.33,NA,NA,33.25,NA,NA,44.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.65,NA,NA,13.63,NA,NA,NA,NA,660.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylQpyr__Output_Plot_18_1692.xlsx"
"20","CS_IFN2_PsylQpyr.json","Node 1 - Inventoried trees",0,"-","-","Initialization",0,"-","-","-","IFN2","18_1692",21,43,95,0,0.69,0.31,417.62,381.97,30.56,NA,0,36.26,24.38,9.85,4139.65,1009.41,4139.65,397.61,397.61,1983.18,868.29,638.31,3222.2,NA,NA,72.6,35.85,72.6,22.5,22.5,50.25,31.33,28.22,63.59,33.25,28.51,64.05,45.48,33.79,63.59,1801.77,898.67,3222.2,15.5,15.5,13.5,6.5,10.5,11.5,12.65,12.74,12.58,13.61,14.35,12.58,40.38,29.92,660.02,478.33,159.96,1170.13,860.18,35.96,38.64,182.99,NA,NA,137.72,45.28,0,0,26.61,65.39,85.66,68.75,14.9,171.81,0,0,0,27.3,84.11,68.75,14.9,129.49,26.61,38.09,1.55,42.32,62.37,0,41.31,11.19,1.57,16.87,58.28,197.05,NA,62.37,0,11.19,16.87,40.36,130.79,41.31,1.57,17.93,66.27,"CS_IFN2_PsylQpyr__Output_Plot_18_1692.xlsx"
"21","CS_IFN2_PsylQpyr.json","Node 2 - Inventoried trees",5,"-","-","Execution",5,"-","-","-","IFN2","18_1692",21,43,100,5,0.7,0.3,417.62,381.97,30.56,NA,0,38.63,26.65,9.95,4167.73,1090.65,4167.73,441.36,441.36,2020.47,924.98,697.67,3255.05,NA,NA,72.85,37.26,72.85,23.71,23.71,50.72,32.54,29.52,63.93,34.32,29.8,64.38,46.5,35.19,63.93,1862.62,974.67,3255.05,14.71,12.88,14.71,6.5,10.85,13.86,11.96,11.83,14.39,12.95,12.65,14.39,36.74,27.85,694.38,516.18,161.39,1170.13,860.18,37.8,40.61,189.44,NA,0,137.19,52.25,0,0,32.38,73.04,80.9,74.41,12.79,177.9,0,0,0,28.26,77.79,74.41,12.79,128.44,32.38,44.78,3.11,49.46,62.75,0,47.77,13.53,1.56,20.24,62.22,214.85,NA,62.75,0,13.53,20.24,44.11,140.63,47.77,1.56,18.11,74.23,"CS_IFN2_PsylQpyr__Output_Plot_18_1692.xlsx"
"22","CS_IFN2_PsylQpyr.json","Node 3 - Inventoried trees",10,"-","-","Execution",5,"-","-","-","IFN2","18_1692",21,43,105,10,0.71,0.29,417.62,381.97,30.56,NA,0,40.86,28.77,10.05,4197.73,1164.71,4197.73,482.15,482.15,2057.92,978.33,753.23,3289.67,NA,NA,73.11,38.51,73.11,24.78,24.78,51.19,33.64,30.68,64.28,35.29,30.97,64.72,47.4,36.42,64.28,1919.36,1044.02,3289.67,13.89,12.3,13.89,6.5,10.46,13.14,11.46,11.35,13.6,12.34,12.09,13.6,34.07,26.04,726.35,551.2,162.9,1170.13,860.18,39.65,42.61,190.78,NA,0,140.86,49.92,0,0,29.98,74.8,78.04,61.35,11.22,178.57,0,0,0,34.01,75.97,61.35,11.22,131.6,29.98,40.79,2.07,46.98,64.92,0.01,45.64,15.6,1.58,23.12,65.93,223.09,NA,64.92,0.01,15.6,23.12,47.62,151.27,45.64,1.58,18.3,71.82,"CS_IFN2_PsylQpyr__Output_Plot_18_1692.xlsx"
"23","CS_IFN2_PsylQpyr.json","Node 4 - Inventoried trees",15,"-","-","Execution",5,"-","-","-","IFN2","18_1692",21,43,110,15,0.72,0.28,417.62,381.97,30.56,NA,0,42.95,30.78,10.15,4224.84,1233.62,4224.84,521.26,521.26,2090.17,1028.55,805.69,3320.25,NA,NA,73.34,39.63,73.34,25.76,25.76,51.59,34.63,31.75,64.59,36.19,32.03,65.02,48.21,37.53,64.59,1971.72,1108.78,3320.25,13.16,11.77,13.16,6.5,10.09,12.49,10.99,10.9,12.9,11.79,11.57,12.9,31.74,24.45,756.12,583.92,164.23,1170.13,860.18,41.51,44.6,191.32,NA,0,143.55,47.77,0,0,27.61,82.07,77.11,49.34,9.73,178.78,0,0,0,42.21,75.08,49.34,9.73,133.91,27.61,39.86,2.02,44.88,66.61,0.05,43.68,17.75,1.6,26.11,69.41,231.06,NA,66.61,0.05,17.75,26.11,50.94,161.46,43.68,1.6,18.47,69.6,"CS_IFN2_PsylQpyr__Output_Plot_18_1692.xlsx"
"24","CS_IFN2_PsylQpyr.json","Node 5 - Inventoried trees",20,"-","-","Execution",5,"-","-","-","IFN2","18_1692",21,43,115,20,0.73,0.27,417.62,381.97,30.56,NA,0,44.93,32.67,10.23,4249.55,1297.88,4249.55,558.71,558.71,2118.49,1075.87,855.24,3347.61,NA,NA,73.56,40.65,73.56,26.67,26.67,51.94,35.55,32.72,64.86,37.01,33,65.29,48.95,38.55,64.86,2020.25,1169.36,3347.61,12.51,11.27,12.51,6.5,9.73,11.9,10.56,10.48,12.27,11.28,11.1,12.27,29.71,23.05,783.91,614.55,165.42,1170.13,860.18,43.37,46.61,191.24,NA,0,145.43,45.8,0,0,27.3,89.22,73.29,33.21,8.02,178.3,0,0,0,50.32,71.79,33.21,8.02,135.47,27.3,38.9,1.5,42.83,67.91,0.14,41.88,19.96,1.61,29.2,72.7,238.84,NA,67.91,0.14,19.96,29.2,54.07,171.28,41.88,1.61,18.63,67.56,"CS_IFN2_PsylQpyr__Output_Plot_18_1692.xlsx"
"25","CS_IFN2_PsylQpyr.json","Initial inventory",0,"0","0","Initial load",0,"-","-","-","IFN2","19_5",NA,NA,92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS_IFN2_PsylQpyr__Output_Plot_19_5.xlsx"
