"","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID0","PlotID"
"40606",40,446,"A","1",0,"1984","K","0004","2002","","1-3",2019,1,1,2,100,45,1,1,1,1,2,4,1,2,1,1,2,2,NA,NA,0,4,0,0,0,250,0,0.25,0,2,1,1,"[Identificación]Parcela localizada mediante fotos, croquis y pies del IFN3.
[Regeneración]No hay.
[Matorral]Fuera de 10 m hay Retama sphaerocarpa.
",2019-03-12,2000-01-01,2019-03-12,2000-01-01,40,"40.446","40.446.A.1"
"40614",40,459,"A","4",0,"2002","","1-3","1984","K","0002",2019,1,1,1,90,60,1,1,2,1,2,4,1,2,1,1,2,2,NA,NA,1,4,0,0,0,60,0,2.5,0,2,1,1,"[Identificación]Parcela localizada y desplazada a 185g y 20m para meterla completamente en su tesela.
[Pies Mayores]A 338g y 15.9m pinaster no entra por Dn.",2019-05-28,2000-01-01,2019-05-28,2000-01-01,40,"40.459","40.459.A.4"
"40620",40,467,"A","1",0,"1984","K","0006","2002","","1-4",2005,1,1,1,80,60,1,2,1,1,2,4,1,2,1,1,2,2,NA,NA,1,0,0,0,0,250,0,0.25,0,1,1,1,"Parcela localizada por referencias de fotos aereas, croquis y pies mayores.
[Pies Mayores] A 24.5m y 39g un pinaster no entra justo por diametro (425-419)
Pie 2 no lo considero error por los crecimientos que se observan en los pinoneros.
Pie 3 diametros comprobados; variacion debida a resinacion.
Pie 4 forma comprobada, fuste retorcido en toda su altura.
El capataz considera el pie 10 de IFN3 error por distancia (frente 25.0m y lateral 25.24m) con pendiente 0g; pero se considera posteriormente en gabinete con numeración normal, al tener en cuenta la tolerancia del distanciómetro.
A 349g y 15.1m un pinaster no entra justo por diametro (422-421).
[Coor. gps]Coordenadas tomadas con GPS Trimble(ETRS_89)
Parcela localizada y levantada por auxiliar Ines Rodriguez",2019-03-21,2000-01-01,2019-03-21,2000-01-01,40,"40.467","40.467.A.1"
"40630",40,480,"A","4",0,"2002","","1-3","1984","k","0003",2019,1,1,1,90,55,1,2,1,1,2,4,1,2,1,1,5,3,NA,NA,1,4,0,0,0,215,0,1,0,2,2,1,"[Identificación]Parcela desplazada del pinchazo, consultada previamente la oficina tecnica, a 23m y 90g para meterla competamente en su tesela.
[Regeneración]No hay.
Para el estado latizal del pinea no barrenamos ya que  no llegan el Dn de barrenado.",2019-03-19,2000-01-01,2019-03-19,2000-01-01,40,"40.480","40.480.A.4"
"40649",40,515,"A","1",0,"1984","K","0003","2002","","1-3",2019,1,1,2,95,60,1,1,1,1,2,4,1,2,1,1,5,2,NA,NA,1,4,0,0,0,225,0,0.25,0,2,1,1,"[Identificación]Parcela localizada mediante croquis y pies del IFN3, las fotos no se corresponden con la parcela.
[PiesMay 5-23]Medido con cinta, perimetro 237cm.
[Regeneración]No hay.
El barrenado del pineano se puede llegar al centro por diametro del arbol. ",2019-03-21,2000-01-01,2019-03-21,2000-01-01,40,"40.515","40.515.A.1"
"40675",40,561,"A","1",0,"1984","L","0005","2002","","3-4",2019,1,1,1,100,65,1,2,1,1,2,4,1,2,1,1,2,3,NA,NA,1,0,0,0,0,43,0,0.25,0,1,1,1,"Parcela localizada por referencias de fotos aereas, croquis y pies mayores.
[Regeneración] No hay regeneracion en 5m.
[Pies Mayores] Pies 8 y 9 calidad 3 por dominancia.
A 134g un P. pinea no entra por distancia (15.1m al lateral).
A 20.9m y 200g un P. pinaster no entra justo por diametro (402-426).
Pie 13 bifurcado por encima de 1.3m.
[Coor. gps] Coordenadas tomadas con GPS Trimble(ETRS_89).",2019-04-17,2000-01-01,2019-04-17,2000-01-01,40,"40.561","40.561.A.1"
"40769",40,655,"A","1",0,"1984","M","0009","2004","","4-3",2019,1,1,1,95,50,1,1,1,1,3,4,1,2,1,1,2,1,NA,NA,1,0,0,0,0,27,0,0.25,0,1,1,2,"Parcela localizada por referencias de croquis y pies mayores
[Coor. gps]Coordenadas tomadas con GPS Trimble(ETRS_89)",2019-03-06,2000-01-01,2019-03-06,2000-01-01,40,"40.655","40.655.A.1"
"41047",40,1151,"A","1",0,"1984","J","0012","2002","","2-2",2005,1,1,1,90,40,1,2,1,1,3,4,1,2,1,1,2,2,NA,NA,1,0,0,0,0,200,0,0.5,0,1,1,1,"Parcela localizada por referencias de fotos aereas, croquis y pies mayores. No se ha encontrado el rejon por los trabajos con maquinaria realizados para la saca de madera, por lo que hemos cruzado cintas para situar el centro de la parcela
[Regeneración]Fuera de 5M hay regeneracion de pinaster y ce pinonero
[Pies Mayores] Pie 4 bifurcado por encima de 1.3m.
Pie 6 comprobada especie; bifurcado por encima de 1.3m.
[Coor. gps]Coordenadas tomadas con GPS Trimble(ETRS_89)",2019-03-19,2000-01-01,2019-03-19,2000-01-01,40,"40.1151","40.1151.A.1"
"41086",40,1228,"A","1",0,"2002","","1-3","1985","K","0003",2019,1,1,1,90,60,1,2,1,1,3,4,1,2,1,1,2,2,NA,NA,1,4,0,0,0,310,0,0.5,0,1,1,1,"Parcela localizada por referencias de ortofotos, croquis y pies mayores
[Regeneración]Fuera de 5M hay regeneracion de pinaster y de pinea
[Matorral]Fuera de 10M hay Retama y lavanda
[Pies Mayores] Pie 3 resinado por metodo de rayon; tiene abundente muerdago en ramas.
Pie 5 bifurcado a 7m.
Pie 8 bifurcado por encima de 1.3m
A 250g y 21.2m un pinaster no entra justo por diametro (417-424).
[Coor. gps]Coordenadas tomadas con GPS Trimble(ETRS_89)",2019-04-11,2000-01-01,2019-04-11,2000-01-01,40,"40.1228","40.1228.A.1"
"41124",40,1292,"A","1",0,"1985","K","0003","2002","","1-3",2019,1,1,1,100,70,1,3,1,1,3,4,1,2,1,1,2,2,NA,NA,1,0,NA,0,NA,265,NA,1.75,NA,2,1,1,"-REJON LOCALIZADO POR COORDENADAS GPS Y PIES MAYORES IFN3.
[Matorral]-FUERA DEL RADIO DE 10 METROS HAY CISTUS LAURIFOLIOS.
-POR EL SUELO HAY BASTANTES RESTOS DE CORTAS.
-PRESENCIA DE MUERDAGO EN LOS PINUS PINASTER.
-BARRENA ESTROPEADA.",2019-02-19,2000-01-01,2019-02-19,2000-01-01,40,"40.1292","40.1292.A.1"
"41211",40,1441,"A","1",0,"1985","K","0012","2002","","4-2",2019,1,1,1,85,60,1,2,1,1,2,4,1,2,1,1,3,2,NA,NA,1,4,0,0,0,100,NA,0.25,NA,1,1,1,"[Pies Mayores] PIE A 90G NO ENTRA POR DM COMPROBADO. PIE N10 DIST CORREGIDA.
[Regeneración] NO HAY.
[Matorral] NO HAY.",2019-02-08,2000-01-01,2019-02-08,2000-01-01,40,"40.1441","40.1441.A.1"
"41252",40,1536,"A","1",0,"1985","M","0005","2002","","3-4",2019,1,1,1,90,75,1,3,1,1,2,4,1,2,1,1,5,2,NA,NA,1,0,0,0,0,55,NA,0.25,NA,2,2,2,"PIES DANHADOS POR LAS NEVADAS. SUBPISO DE ENCINA DANHADO POR EL GANADO.
[Matorral] NO HAY.",2019-03-01,2000-01-01,2019-03-01,2000-01-01,40,"40.1536","40.1536.A.1"
"41255",40,1543,"A","1",0,"1985","M","0004","2002","","3-4",2019,1,1,1,90,70,1,2,1,1,2,4,1,2,1,1,5,2,NA,NA,1,0,0,0,0,20,NA,0.5,NA,2,2,1,"[PiesMay 1-23] DANHOS POR PROCESIONARIA.
[PiesMay 2-23] DANHOS POR PROCESIONARIA.
[PiesMay 3-26] HT COMPROBADA Y DANHOS POR PROCESIONARIA.
[PiesMay 4-26] HT COMPROBADA.
[PiesMay 7-23] DANHOS POR  NIEVE EN GUIA PRINCIPAL.
[PiesMay 8-23] DANHOS POR PROCESIONARIA.
[PiesMay 13-26] TIENE MUERDAGO.
[PiesMay 15-26] DANHOS POR PROCESIONARIA.
[PiesMay 14-23] MEDIDO A 1.2M.
[Matorral] COMPROBADO.",2019-03-20,2000-01-01,2019-03-20,2000-01-01,40,"40.1543","40.1543.A.1"
"41473",40,3000,"N","N",0,"2013","","1-1",NA,"","",2019,1,1,1,100,70,1,2,1,1,1,4,1,2,1,1,2,2,NA,NA,1,0,0,0,0,45,0,0.5,0,1,1,1,"Parcela localizada por referencias de fotos aereas y GPS Trimble.
[Regeneración] Fuera de 5m hay regeneracion de pinaster y pinea.
[Matorral] No hay matorral en la parcela ni alrededores.
[Pies Mayores] A 16g y 20.6m un pinaster no entra justo por diametro.
Pies 2 y 6 tienen 3 caras de resinacion completas cerradas, entalladuras estimadas.
[Coor. gps] Coordenadas tomadas con GPS Trimble(ETRS_89).",2019-03-12,2000-01-01,2019-03-12,2000-01-01,40,"40.3000","40.3000.N.N"
"41477",40,3004,"N","N",0,"0","00","000","0","00","0000",2019,1,1,1,95,50,1,1,1,1,2,4,1,2,1,1,2,1,NA,NA,1,0,0,0,0,165,0,1.25,0,1,1,1,"[Identificación]Parcela de nueva implantacion pinhada en el centro de coordenadas transmitidas desde la oficina tecnica.
[Pies Mayores]A 212g y 2.6m un pinea bifurado por debajo de 1.3m no entra por Dn.",2019-05-10,2000-01-01,2019-05-10,2000-01-01,40,"40.3004","40.3004.N.N"
"41481",40,3008,"N","N",0,"2013","","2-2",NA,"","",2019,1,1,1,100,70,1,2,1,1,2,4,1,2,1,1,5,2,NA,NA,1,0,0,0,0,90,0,0.75,0,1,1,1,"Parcela localizada por referencias de ortofotos y GPS Trimble.
[Especies Presentes] Fuera de la parcela hay crataegus monogina.
[Matorral] Fuera de la parcela hay cytisus y rosa.
[Riesgos] Otro modeo de combustible 8.
[Pies Mayores] A 5.7m y 204g un pinea no entra justo por diametro (120-124).
El pie 23 tiene un pequeno bolson de procesionaria, que actualmente no afecta a su calidad.
Durante el levantamiento nos hemos refugiado varias veces en el coche, por episodios de lluvia intensa.
[Coor. gps]Coordenadas tomadas con GPS Trimble(ETRS_89)",2019-04-10,2000-01-01,2019-04-10,2000-01-01,40,"40.3008","40.3008.N.N"
"41505",40,3033,"N","N",0,"2002","","2-4",NA,"","",2019,1,1,1,95,85,1,2,1,1,3,4,1,2,1,1,9,2,NA,NA,1,4,NA,0,NA,235,NA,0.25,NA,1,2,1,"[Identificación]
PARCELA LOCALIZADA POR ORTOFOTO Y GPS.
[Pies Mayores]
A 225G ARBOL NO ENTRA POR DIAMETROS 410 Y 429.
A 250G ARBOL NO ENTRA POR DISTANCIA LATERAL 15.1 M.
A 286G ARBOL NO ENTRA POR DISTANCIA LATERAL 15.1 M. Y DIAMETROS 416 Y 416.",2019-04-15,2000-01-01,2019-04-15,2000-01-01,40,"40.3033","40.3033.N.N"
