"","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID0","PlotID"
"8759",9,920,"A","1",0,"1997","","3-2","1985","L","0004",2018,1,1,1,100,65,1,2,1,3,2,4,1,2,1,1,5,3,NA,NA,0,0,0,0,0,50,NA,5,NA,2,1,1,"[Pies Mayores] ARBOL N 10 FORMA COMPROBADA. P. NIGRA A 259 GRADOS NO ENTRA POR DIAMETRO .  PARCELA  LEVANTADA YLOCALIZADA POR EL AUXILIAR",2018-04-27,2000-01-01,2018-04-27,2000-01-01,9,"9.920","9.920.A.1"
"8810",9,1041,"A","1",0,"1985","L ","0011","1997","","4-2",2018,1,1,2,100,80,1,2,2,2,2,4,1,2,1,1,8,4,NA,NA,0,0,0,0,0,170,NA,0.5,NA,1,2,1,"rejon encontrado por fotos y pies del ifn3[Pies Mayores]pie a 123g y 219g no entran por distancia. 
pie a 35g, 104g y 318g no entran por diametro.
pies 14, 15, 17 pae comprobado.
pie 20 y 21 medidos a 1.6mts por bifurcacion y respetando criterio del ifn3.
pie 31 medido a 1.1mt pr bifurcacion.
Parcela localizada y levantada por el auxiliar Guillermo Sanchez ",2018-05-09,2000-01-01,2018-05-09,2000-01-01,9,"9.1041","9.1041.A.1"
"9020",9,1393,"A","1",0,"1997","","2-4","1985","K","0009",2018,1,1,2,95,60,1,2,3,2,1,4,1,2,1,1,4,6,NA,NA,0,0,NA,1,NA,52,NA,16,NA,2,3,3,"LOCALIZADA A TRAVES DE CROQUIS (DESPLAZADA EN IFN3 6M A 349G) Y PIES MAYORES.
10% DEMAS ESPECIES.
PIE 3 MEDIDO A 1,15M POR ENGROSAMEINTO BIFURCACION.
PIES 2 (PARTIDO), 3, 4 ALTURA COMPROBADA.
COMPROBADA ESPECIE PIES 7, 8.
COMPROBADO PAE PIES 11, 20, 22, 23 (ESTOS DOS ULTIMOS ESTAN PEGADOS).
",2018-11-24,2000-01-01,2018-11-24,2000-01-01,9,"9.1393","9.1393.A.1"
"9102",9,1544,"A","1",0,"1985","M","0010","1997","","4-4",2018,1,1,2,100,85,1,2,3,2,1,4,1,2,1,1,6,7,NA,NA,1,0,0,0,0,350,NA,10,NA,2,2,1,"[Pies Mayores]N1 PAE COMP.N2 ALTURA COMPROBADA.N9 ALTURA COMPROBADA N10 ALTURA COMPROBADA.025 A 88G NO ENTRA  POR DM.N20 ALTURA COMPROBADA N23 PAE COMP.N27 ALTURA COMPROBADA N35 ALTURA COMP.N32 ALTURA COMP
[Regeneración]EDAD BASADA EN INFO ANTERIOR",2018-11-21,2000-01-01,2018-11-21,2000-01-01,9,"9.1544","9.1544.A.1"
"9130",9,1596,"A","1",0,"1985","K","0005","1997","","1-4",2018,1,1,2,90,85,1,1,2,3,2,4,1,2,1,1,8,3,NA,NA,0,0,NA,0,NA,320,NA,7.5,NA,2,2,1,"PARCELA LOCALIZADA CON ORTOFOTO CROQUIS Y PIES IFN3.
[Pies Mayores]
PIE 001-012-032 ALTURA COMPROBADA 
PIE 001-003-006-010 SENALADO PARA CORTAS 
PIE 008 DISTANCIA COMPROBADA ",2018-11-19,2000-01-01,2018-11-19,2000-01-01,9,"9.1596","9.1596.A.1"
"9195",9,1718,"A","1",0,"1984","L","0012","1997","","4-3",2018,1,1,2,95,80,1,2,3,2,2,4,1,2,1,1,7,3,NA,NA,1,4,0,0,0,155,NA,3,NA,2,1,1,"[Identificación] PARCELA LOCALIZADA POR FOTOGRAFIA AEREA Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
[Pies Mayores] 044 A 8 GR Y 9.1 MT NO POR DM 105-115.
045 A 62 GR Y 7.3 MT NO POR DM 107-122.
021 A 277 GR Y 10.1 MT NO POR DIST. DM 136-136.
025 A 313 GR Y 8.9 MT NO POR DM 107-115.
021 A 361 GR Y 12.8 MT NO POR DM 208-208.
PIES 4, 8 PAE COMPROBADO.",2018-02-12,2000-01-01,2018-02-12,2000-01-01,9,"9.1718","9.1718.A.1"
"9196",9,1719,"A","1",0,"1997","","4-2","1984","L","0012",2018,1,1,2,95,85,1,2,3,1,2,5,1,1,1,1,5,2,NA,NA,0,0,0,0,0,140,NA,4.5,NA,2,2,1,"[Identificación] PARCELA LOCALIZADA POR ORTOFOTO, CROQUIS IFN3 Y PIES MAYORES.
PARCELA SITUADA EN UNA REPOLACION MIXTA DE PINO LARICIO Y SILVESTRE.
BAJO EL ARBOLADO PREDOMINA EL MATORRAL BAJO COMPUESTO DE CISTUS LAURIFOLIOS PRINCIPALMENTE.
COMO REFERENCIA INDICAR QUE HAY UN 025 A 344 GR Y 17.4 MT CON DM 259-251 BIF. POR ENCIMA DE 1.30 MT (ES EL UNICO POR LA ZONA).
[ClaEsp] EL ESTO DE ESPECIES NO TIENEN ENTIDAD SUFICIENTE PARA DARLE OCUPACION.
[Regeneración] FUERA DE 5 MT HAY REGENERACION DE ENEBRO, CATEGORIA 2.
[Suelo] ROCOSIDAD COMPROBADA.
[Selvicultura] PODAS Y CORTAS ANTIGUAS, INDICADAS EN IFN3, QUE NO TENGO EN CUENTA.
[Pies Mayores] EN IFN3 SE INDICA CALIDAD 3 Y AGENTE 322 A TODOS LOS PIES, CONDICION QUE ACTUALMENTE NO SE CONTEMPLA, A EXCEPCION DE UNOS POCOS, PORQUE LOS PIES NO PRESENTAN DANOS. 
PIES AFECTADOS POR PERFORADORES SON SILVESTRES, LOS PIES DE LARICIO AUN NO ESTAN AFECTADOS.
PIE 17 IFN3 (888 IFN4) MUERTO POR PERFORADORES.
PIE 18 DIST. LATERAL CINTA 9.99 MT.
PIE 23 DANOS POR PERFORADORES.
021 A 10 GR Y 11.1 MT NO POR DM 205-191. 
021 A 9 GR Y 14.7 MT NO POR DM 205-205.
025 A 45 GR Y 11 MT NO POR DM 206-201.
025 A 60 GR Y 12.9 MT NO POR DM 210-216.
021 A 60 GR Y 10.3 MT NO POR DIST. DM 202-186.
021 A 77 GR Y 10.4 MT NO POR DM 198-208.
025 A 160 GR Y 12.3 MT NO POR DM 221-221.
025 A 183 GR Y 15.16 MT (LATERAL 15.30 MT), NO POR DIST. DM 253-251.
025 A 187 GR Y 12.7 MT NO POR DM 205-210.
025 A 201 GR Y 11.2 MT NO POR DM 221-204.
021 A 218 GR Y 7.3 MT NO POR DM 103-106.
021 A 237 GR Y 13.9 MT NO POR DM 213-213.
021 GR Y 10.25 MT NO POR DIST. NI DM 219-216.
025 A 268 GR Y 13 MT NO POR DM 217-219.
025 A 271 GR Y 10.4 MT NO POR DIST. DM 154-157.
021 MUERTO EN PIE (DESCOMPOSICION 1) A 317 GR Y 14.1 MT CON DM 185-182 (DANOS POR PERFORADORES).
025  A 301 GR Y 15.25 MT NO POR DIST. DM 230-225.
025 A 355 GR Y 14.5 MT NO POR DM 225-218.
025 A 357 GR Y 12.7 MT NO POR DM 201-200.
025 A 370 GR Y 12.8 MT NO POR DM 205-204.
",2018-08-24,2000-01-01,2018-08-24,2000-01-01,9,"9.1719","9.1719.A.1"
"9468",9,2234,"A","1",0,"1982","03","4815","1997","","3-3",2018,1,1,1,100,65,1,1,1,2,2,4,1,2,1,1,5,4,NA,NA,1,0,0,0,0,230,NA,0.75,NA,2,2,1,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO Y PIES IFN3. HAY CORTAS. 10% RESTO SP. RUMBOS COMPROBADOS. FUERA DE 10M HAY PRUNUS. PARCELA LEVANTADA CON LLUVIA.",2018-04-04,2000-01-01,2018-04-04,2000-01-01,9,"9.2234","9.2234.A.1"
"9611",9,2468,"A","1",0,"1985","M","0004","1997","","3-3",2018,1,1,1,90,70,1,2,1,2,2,4,1,2,1,1,6,2,NA,NA,1,0,0,0,0,235,NA,3.5,NA,1,1,2,"PARCELA LOCALIZADA MEDIANTE GPR, REFERENCIAS Y PIES MAYORES IFN3.
[Pies Mayores]
PIE 1,22 CALIDAD Y DIAMETROS COMPROBADOS
PIE 4,17,23 CALIDAD COMPROBADA 
PIE 7 ALTURA Y CALIDAD COMPROBADA 
PIE 22 TIENE SU BIFURCACION MUERTA POR ESO NO SE CONSIDERA BIFURCADO (41)
PIE 29 ESTA TUMBADO POR EL VIENTO Y APOYADO EN OTRO PIE PERO MEDIO CEPELLON ESTA EN LA TIERRA Y EL ARBOL VIVO, AUNQUE SU VIAVILIDAD ES CASI NULA
021 A 19.5 MTS Y 343 GRS NO POR DIAMETRO (427-413)
NO SE BARRENA EL P.SILVESTRE PROPUESTO POR TENER EL TRONCO DANADO.",2018-06-07,2000-01-01,2018-06-07,2000-01-01,9,"9.2468","9.2468.A.1"
"9732",9,2674,"A","1",0,"1984","J","0005","1997","","1-2",2018,1,1,1,95,60,1,1,2,2,3,4,1,2,1,1,1,2,NA,NA,1,4,0,0,0,212,135,2,2.5,1,1,1,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO, REFERENCIAS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
[Pies Mayores]
024 A 18.7 MTS Y 18 GRS NO POR DIAMETRO (402-425)
REFERENCIA: CEPA DE ENCINA A 28.2 MTS Y 36 GRS.
CALIDAD COMPROBADA EN TODOS LOS PINOS YA QUE ESTAN CASI MUERTOS DEBIDO A LA PROCESIONARIA Y AL MUERDAGO, SOLO CONSERVAN BROTES VERDES AISLADOS.
NO SE BARRENA DEBIDO A SU CALIDAD 5.",2018-04-19,2000-01-01,2018-04-19,2000-01-01,9,"9.2674","9.2674.A.1"
"9867",9,3219,"A","1",0,"1997","","1-3","","","",2018,1,1,2,100,90,1,2,2,2,2,4,1,2,1,1,7,4,NA,NA,0,0,0,0,0,350,NA,5.25,NA,2,2,2,"[ClaEsp. Resto de especies=10%]
rejon encontrado por fotos y pies del ifn3[Pies Mayores]pie 1, 10, 18, 27, 51 pae comprobado
.pie a 43g, 79g, 153g, 167g, 179g no entra por diametro.
pie 49 distancia comprobada
pie a 340 g no entra por distancia 
[Riesgos]modelo combustible comprobado",2018-06-11,2000-01-01,2018-06-11,2000-01-01,9,"9.3219","9.3219.A.1"
"10029",9,3533,"A","1",0,"1997","","2-4","","","",2018,1,1,1,90,45,1,1,2,1,3,4,1,2,1,1,5,2,NA,NA,0,4,0,0,0,85,0,4,0,1,2,1,"PARCELA LOCALIZADA CON CROQUIS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
[Pies Mayores]
PINOS HIBRIDADOS ENTRE ELLOS, ALGUNOS PIES DE DIFICIL IDENTIFICACION.
A 5G Y 22.8M HAY UN 25 QUE NO ENTRA POR DIAMETROS (435;405)
A 102G Y 9.8M HAY UN 21 QUE NO ENTRA POR DIAMETROS (120;119)
ESPECIE COMPROBADA PIE 5
PIE 7 MEDIDO A 1.20M POR ENGROSAMIENTO DEL FUSTE.
CODIGO 311: PROCESIONARIA.
FUERA LOS 5M HAY REGENERACION DE ENCINA. 
[Selvicultura]
LAS PODAS SON ANTIGUAS.",2018-07-11,2000-01-01,2018-07-11,2000-01-01,9,"9.3533","9.3533.A.1"
"10047",9,3563,"N","N",0,"2013","","1-4","","","",2018,1,1,2,100,70,1,2,1,2,2,4,1,2,1,1,5,3,NA,NA,0,0,0,0,0,240,0,1.25,0,1,2,2,"[Pies Mayores]no saco crecimientos por estar la masa muy afectada por la procesionaria.
[Regeneración]no hay.
[Especies Presentes]en los alrededores de la parcela hay juniperus comunis.",2018-11-30,2000-01-01,2018-11-30,2000-01-01,9,"9.3563","9.3563.N.N"
"10086",9,3602,"N","N",0,"2013","","3-2","","","",2018,1,1,2,85,80,1,2,2,2,2,4,1,2,1,1,8,3,NA,NA,0,0,0,0,0,270,0,13.75,0,2,2,2,"[Identificación]parcela desplazada 20 mtrs con r:70g para introducirla en su tesela.
[ClaEsp. Resto de especies=10%]
[Pies Mayores]a 11g y 11.2 mtrs hay un 25 que no entra por diametro:216-220.
a 147g hay un 25 que no entra por distancia:5.1 mtrs al lateral,ni diametro:117-131.
a 220g hay un 21 que no entra por distancia:15.2 mtrs al lateral.
a 246g hay un 21 que no entra por distancia:15.1 mtrs al lateral.
[Matorral]122:ramnus alpinus.
fuera de los 10 mtrs hay viburnum lantana.",2018-06-20,2000-01-01,2018-06-20,2000-01-01,9,"9.3602","9.3602.N.N"
"10088",9,3604,"N","N",0,"2013","","1-2","","","",2018,1,1,2,100,80,1,2,1,2,2,4,1,2,1,1,11,3,NA,NA,1,4,9,0,0,340,NA,0.75,NA,2,2,1,"rejon pinchado en cruce de coordenadas [Pies Mayores]pie a 105g no entre por distancia 
[Selvicultura]leve clareo
procesionaria en pinos mayormente en silvestres",2018-06-08,2000-01-01,2018-06-08,2000-01-01,9,"9.3604","9.3604.N.N"
"23906",24,212,"A","4C",0,"1997","","4-4","1985","M","012",2019,1,1,2,95,60,1,2,1,2,2,4,1,2,1,1,7,5,NA,NA,1,4,0,0,0,260,NA,1.5,NA,2,2,2,"REJON NO LOCAIZADO POR NO TENER REFERENCIAS EXACTAS.
CRUCE DE COORDENADAS LOCALIZADO POR ORTOFOTO Y GPS.
[Identificación]
[Pies Mayores]
PIE N 23 DN A 1.4M POR NUDO
[Regeneración]
COMPROBADO
[Riesgos]
TAMBIEN HAY MODELO DE COMBUSTIBLE DE RESIDUOS EN CALLES POR CORTA DE PROCESADORA.",2019-09-13,2000-01-01,2019-09-13,2000-01-01,24,"24.212","24.212.A.4C"
"24190",24,732,"A","4",0,"2013","","2-4","1984","K","0008",2019,1,1,2,90,80,1,2,2,2,2,4,1,2,1,1,5,3,NA,NA,1,0,NA,5,NA,245,NA,6.5,NA,3,1,1,"[Identificación]PARCELA NO LOCALIZADA, NO SE ENCUENTRAN LAS REFERENCIAS Y HAN HECHO UNA ENTRESACA CORTANDO BASTANTES PIES, POR LO TANTO, SE IMPLANTA EN CRUCE DE COORDENADAS Y SE CLASIFICA COMO A4.
[Pies Mayores]PIE 28 BIFURCADO A MAS DE 4M.
A RUMBO 324 Y 13M NO 025 POR DIAMETROS.
A RUMBO 327 Y 15.1M(LATERAL) NO 025 POR DISTANCIA.
A RUMBO 378 Y 15.1M(LATERAL) NO 025 POR DISTANCIA NI POR DIAMETROS.",2019-09-11,2000-01-01,2019-09-11,2000-01-01,24,"24.732","24.732.A.4"
"24233",24,795,"A","1",0,"1997","","1-3","1984","K","0003",2019,1,1,2,95,80,1,2,2,2,1,4,1,2,1,1,8,6,NA,NA,1,0,0,5,0,65,NA,6.75,NA,1,2,2,"[Pies Mayores]N2 COMP.SILVESTRE A 189G NO ENTRA POR DM.",2019-08-26,2000-01-01,2019-08-26,2000-01-01,24,"24.795","24.795.A.1"
"24240",24,803,"A","4",0,"1997","","2-4","1984","K","0011",2019,1,1,2,100,90,1,2,2,3,1,4,1,2,1,1,6,5,NA,NA,1,4,NA,5,NA,283,NA,5,NA,3,3,1,"[Identificación]rejon ifn3 no localizado, ya que se han hecho abundantes cortas tanto de pino como de rebollo,no hay referencias.
parcela pinchada en cruce de coordenadas con gps.
[Pies Mayores]
25-r.374 a 12.2m no por diametro.
[Localización]levantamiento dificil por lluvia.",2019-11-01,2000-01-01,2019-11-01,2000-01-01,24,"24.803","24.803.A.4"
"24262",24,836,"A","1",0,"1997","","4-1","1984","L","0009",2019,1,1,2,90,75,1,1,2,1,1,3,1,2,1,1,7,2,NA,NA,1,0,0,4,0,302,NA,1.5,NA,2,2,2,"PARCELA LOCALIZADA POR ORTOFOTO, REFERENCIA Y PIES IFN3.DIFICIL LOCALIZACION, HAN CORTADO MUCHO Y LA REFERENCIA NO ERA CLARA.ESTA A UNOS 70M AL OESTE DEL CRUCE. 
[Pies Mayores]PIES 6 Y 18 DISTANCIA COMPROBADA CON CINTA METRICA. ",2019-10-04,2000-01-01,2019-10-04,2000-01-01,24,"24.836","24.836.A.1"
"24317",24,919,"A","1",0,"1985","K","0008","1997","","2-3",2019,1,1,2,95,80,1,2,1,3,2,4,1,2,1,1,6,2,NA,NA,1,0,NA,4,NA,86,NA,3,NA,2,2,2,"Rejon localizado por ortofoto y pies y tocones de Ifn3. Modifico la composicion especifica a heterogenea. Cambio el rumbo de las fotos para mejor identificacion. Cambio el modelo de combustible al haberse retirado los restos de corta. La genista sp es la tridantata.

[Pies Mayores]
Pie 015, 016 y 020 Ifn4 rumbo comprobado.",2019-10-29,2000-01-01,2019-10-29,2000-01-01,24,"24.919","24.919.A.1"
"24325",24,931,"A","1",0,"1984","L","0003","1997","","3-1",2019,1,1,2,90,65,1,2,2,2,2,4,1,2,1,1,6,2,NA,NA,1,0,0,0,0,20,0,3,0,1,2,2,"Parcela localizada por referencias de fotos aereas, croquis y pies mayores.
[ClaEsp. Resto de especies=10%] Dejo el 10% para el resto de especies.
Fuera de la parcela hay roble en estados 3 y 4, pero es mas representativo el estado 2.
[Regeneración] Fuera de 5m hay regeneracion de Crataegus y Pyrus.
Parcela localizada y levantada por auxiliar Ines Rodriguez.",2019-10-04,2000-01-01,2019-10-04,2000-01-01,24,"24.931","24.931.A.1"
"24327",24,935,"A","1",0,"1984","L","0005","1997","","3-2",2019,1,1,2,95,85,1,2,1,1,2,4,1,2,1,1,6,2,NA,NA,1,0,NA,4,NA,110,NA,1.25,NA,3,2,2,"Rejon localizado mediante pies de Ifn3 y los tocones dejados por estos pies y ortofoto. Se observan abundantes cortas. Le quito ocupacion al pinaster al estar gran parte de sus pies cortados. Cambio rumbo de las fotos para mejor identificacion. La genista que hay es la tridantata.
[Pies Mayores]
Pie 014 Ifn3 especie comprobada. Pie 020 Ifn3 diametro comprbado.",2019-10-21,2000-01-01,2019-10-21,2000-01-01,24,"24.935","24.935.A.1"
"24331",24,943,"A","1",0,"1984","L","0005","1997","","3-2",2019,1,1,2,75,70,1,2,1,2,1,4,1,2,1,1,8,2,NA,NA,1,0,NA,4,NA,215,NA,1,NA,2,2,2,"Rejon localizado por pies de Ifn3 y ortofoto. Ha habido cortas. Fuera de los 10m hay 0102, 0106.

[Pies Mayores]
Pie 006 y 011 de Ifn4 especie comprobada. Pie 013 Pae comprobado. Pie 025 distancia comprobada. Vertex calibrado. Pie 030 Ifn4 trifurcado por encima de los 6M.",2019-10-24,2000-01-01,2019-10-24,2000-01-01,24,"24.943","24.943.A.1"
"24349",24,970,"A","1",0,"1997","","3-4","1984","M","0005",2019,1,1,2,100,80,1,2,1,1,2,4,1,2,1,1,8,4,NA,NA,1,0,0,4,0,290,NA,2,NA,3,1,1,"N10 DIST.COMP.N11 PAE COMP.",2019-10-31,2000-01-01,2019-10-31,2000-01-01,24,"24.970","24.970.A.1"
